case_index,dataset,vsId,tgId,tcId,op,operation,return_code,software_cycles,hardware_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,starts,done,loads,reads,core_cycles,load_cycles,read_cycles,remaining_api_cycles,load_ratio,core_ratio,read_ratio,remaining_api_ratio,speedup,speedup_per_sample
0,1,42,1,1,1,keyGen,0,5194599,5223313,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5126621,0.016222271190717463,5.2074229516783695e-05,0.0022372773754894644,0.9814883772042763,0.9945027226972613,0.9945027226972613
1,2,42,1,1,2,encapsulation,0,5530291,5573362,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428324,0.02280508605039472,7.320536509202165e-05,0.003145139325240313,0.9739765692592729,0.9922719895101018,0.9922719895101018
2,2,42,4,76,3,decapsulation,0,6938822,6996250,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6802866,0.024222690727175273,7.775594068250848e-05,0.003340646775058067,0.9723589065570841,0.9917916026442737,0.9917916026442737
3,3,42,4,76,4,decapsulationSeed,0,12134490,12220632,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11930556,0.020801051860492976,6.67723240500164e-05,0.002868755069295925,0.9762634207461611,0.9929511010559847,0.9929511010559847
4,2,42,8,116,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
5,2,42,7,106,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
6,2,42,8,117,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
7,2,42,7,108,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
8,1,42,1,2,1,keyGen,0,5195808,5224522,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5127830,0.016218517215546225,5.206217908547423e-05,0.00223675964997372,0.9814926609553946,0.9945039948152194,0.9945039948152194
9,1,42,1,3,1,keyGen,0,5193117,5221831,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5125139,0.016226875209098112,5.208900862551852e-05,0.002237912333815476,0.9814831234484609,0.9945011625232605,0.9945011625232605
