config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes,source_kind,source_chunk,source_local_index
rv32i,0,1,42,1,1,1,0,8995134,4,64,2432,0,0,0,0,0,0,0,0,0,56096,0,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.95134,9424,checkpoint_prefix,checkpoint,0
rv32i,1,2,42,1,1,2,0,11751451,4,832,800,0,0,0,0,0,0,0,0,0,53408,1,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.51451,12112,checkpoint_prefix,checkpoint,1
rv32i,2,2,42,4,76,3,0,15697334,4,2400,32,0,0,0,0,0,0,0,0,0,52592,2,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,156.97334,12928,checkpoint_prefix,checkpoint,2
rv32i,3,3,42,4,76,4,0,24718832,4,832,32,0,0,0,0,0,0,0,0,0,52592,3,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,247.18832,12928,checkpoint_prefix,checkpoint,3
rv32i,4,2,42,8,116,5,0,154004,4,800,0,0,0,0,0,0,0,0,0,0,63504,4,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54004,2016,checkpoint_prefix,checkpoint,4
rv32i,5,2,42,7,106,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,64624,5,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41452,896,checkpoint_prefix,checkpoint,5
rv32i,6,2,42,8,117,5,-4,154015,4,800,0,0,0,0,0,0,0,0,0,0,63504,6,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54015,2016,checkpoint_prefix,checkpoint,6
rv32i,7,2,42,7,108,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,64624,7,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41441,896,checkpoint_prefix,checkpoint,7
rv32i,8,1,42,1,2,1,0,8988682,4,64,2432,0,0,0,0,0,0,0,0,0,56096,8,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.88682,9424,checkpoint_prefix,checkpoint,8
rv32i,9,1,42,1,3,1,0,8989423,4,64,2432,0,0,0,0,0,0,0,0,0,56096,9,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.89423,9424,checkpoint_prefix,checkpoint,9
rv32i,10,1,42,1,4,1,0,8979405,4,64,2432,0,0,0,0,0,0,0,0,0,56096,10,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.79405,9424,checkpoint_prefix,checkpoint,10
rv32i,11,1,42,1,5,1,0,8983655,4,64,2432,0,0,0,0,0,0,0,0,0,56096,11,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.83655,9424,checkpoint_prefix,checkpoint,11
rv32i,12,1,42,1,6,1,0,9001056,4,64,2432,0,0,0,0,0,0,0,0,0,56096,12,keyGen,fips203/ML-KEM-keyGen,FIPS203,,90.01056,9424,checkpoint_prefix,checkpoint,12
rv32i,13,1,42,1,7,1,0,9602847,4,64,2432,0,0,0,0,0,0,0,0,0,56096,13,keyGen,fips203/ML-KEM-keyGen,FIPS203,,96.02847,9424,checkpoint_prefix,checkpoint,13
rv32i,14,1,42,1,8,1,0,8981614,4,64,2432,0,0,0,0,0,0,0,0,0,56096,14,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.81614,9424,checkpoint_prefix,checkpoint,14
rv32i,15,1,42,1,9,1,0,8957350,4,64,2432,0,0,0,0,0,0,0,0,0,56096,15,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.5735,9424,checkpoint_prefix,checkpoint,15
rv32i,16,1,42,1,10,1,0,9004956,4,64,2432,0,0,0,0,0,0,0,0,0,56096,16,keyGen,fips203/ML-KEM-keyGen,FIPS203,,90.04956,9424,checkpoint_prefix,checkpoint,16
rv32i,17,1,42,1,11,1,0,8975006,4,64,2432,0,0,0,0,0,0,0,0,0,56096,17,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.75006,9424,checkpoint_prefix,checkpoint,17
rv32i,18,1,42,1,12,1,0,9002152,4,64,2432,0,0,0,0,0,0,0,0,0,56096,18,keyGen,fips203/ML-KEM-keyGen,FIPS203,,90.02152,9424,checkpoint_prefix,checkpoint,18
