index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
0,1,42,1,1,1,0,8995134,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
1,2,42,1,1,2,0,11751451,4,832,800,0,0,0,0,0,0,0,0,0,0x0000d0a0
2,2,42,4,76,3,0,15697334,4,2400,32,0,0,0,0,0,0,0,0,0,0x0000cd70
3,3,42,4,76,4,0,24718832,4,832,32,0,0,0,0,0,0,0,0,0,0x0000cd70
4,2,42,8,116,5,0,154004,4,800,0,0,0,0,0,0,0,0,0,0,0x0000f810
5,2,42,7,106,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,0x0000fc70
6,2,42,8,117,5,-4,154015,4,800,0,0,0,0,0,0,0,0,0,0,0x0000f810
7,2,42,7,108,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,0x0000fc70
8,1,42,1,2,1,0,8988682,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
9,1,42,1,3,1,0,8989423,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
10,1,42,1,4,1,0,8979405,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
11,1,42,1,5,1,0,8983655,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
12,1,42,1,6,1,0,9001056,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
13,1,42,1,7,1,0,9602847,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
14,1,42,1,8,1,0,8981614,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
15,1,42,1,9,1,0,8957350,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
16,1,42,1,10,1,0,9004956,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
17,1,42,1,11,1,0,8975006,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
18,1,42,1,12,1,0,9002152,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
19,1,42,1,13,1,0,8979921,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
20,1,42,1,14,1,0,8983938,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
21,1,42,1,15,1,0,9001958,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
22,1,42,1,16,1,0,8986663,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
23,1,42,1,17,1,0,9001406,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
24,1,42,1,18,1,0,9001158,4,64,2432,0,0,0,0,0,0,0,0,0,0x0000db20
