config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,source_local_index,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,observed_algorithm_stack_bytes,profile_accounted_cycles,profile_enters,profile_exits,profile_max_depth,source_chunk,baseline_raw_cycles,delta_cycles,overhead_percent,baseline_m_total,same_m,baseline_mul,baseline_mulh,baseline_mulhsu,baseline_mulhu,baseline_div,baseline_divu,baseline_rem,baseline_remu
rv32im_fast,0,1,42,1,1,1,0,5201508,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,0,0,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5201508,97,97,5,batch_000_007,5194599,6909,0.13300352924258446,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,1,2,42,1,1,2,0,5538607,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,1,1,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538607,119,119,5,batch_000_007,5530291,8316,0.15037183395955114,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,2,2,42,4,76,3,0,6948917,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,2,2,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,13264,6948917,142,142,5,batch_000_007,6938822,10095,0.14548578995108968,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,3,3,42,4,76,4,0,12151476,4,832,32,61952,61440,0,0,512,0,0,0,0,52256,3,3,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,13264,12151476,239,239,5,batch_000_007,12134490,16986,0.13998116113656198,61952,True,61440,0,0,512,0,0,0,0
rv32im_fast,4,2,42,8,116,5,0,129521,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,4,4,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129521,9,9,2,batch_000_007,128932,589,0.456829956876493,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,5,2,42,7,106,6,-5,942330,4,1632,0,0,0,0,0,0,0,0,0,0,64576,5,5,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942330,10,10,3,batch_000_007,941452,878,0.09326019807701295,0,True,0,0,0,0,0,0,0,0
rv32im_fast,6,2,42,8,117,5,-4,129532,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,6,6,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129532,9,9,2,batch_000_007,128943,589,0.4567909851639872,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,7,2,42,7,108,6,0,942319,4,1632,0,0,0,0,0,0,0,0,0,0,64576,7,7,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942319,10,10,3,batch_000_007,941441,878,0.09326128774931196,0,True,0,0,0,0,0,0,0,0
rv32im_fast,8,1,42,1,2,1,0,5202717,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,0,8,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5202717,97,97,5,batch_008_015,5195808,6909,0.132972580972969,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,9,1,42,1,3,1,0,5200026,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,1,9,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5200026,97,97,5,batch_008_015,5193117,6909,0.1330414854893506,18176,True,18176,0,0,0,0,0,0,0
