config,index,source_local_index,dataset,vsId,tgId,tcId,op,operation,return_code,phase,name,category,source,function,exclusive_cycles,inclusive_cycles,calls,exclusive_share_percent,source_chunk
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,0,unclassified,unclassified,,,265,265,0,0.005094676390000746,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,1,kem_keypair_derand,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_keypair_derand,567,5201243,1,0.010900684955209143,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,2,kem_enc_derand,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_enc_derand,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,3,kem_dec,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_dec,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,4,kem_check_pk,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_check_pk,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,5,kem_check_sk,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_check_sk,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,6,indcpa_keypair_derand,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_keypair_derand,3439,4253138,1,0.06611544190646251,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,7,indcpa_enc,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_enc,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,8,indcpa_dec,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_dec,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,9,gen_matrix,matrix_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_gen_matrix,1671,1993243,1,0.0321252990478915,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,10,rej_uniform,rejection_sampling,third_party/mlkem-native/mlkem/src/sampling.c,mlk_rej_uniform,94248,94248,4,1.8119360769992088,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,11,poly_getnoise_eta1_4x,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta1_4x,1351,1328249,1,0.02597323699204154,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,12,poly_getnoise_eta2,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta2,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,13,poly_getnoise_eta1122_4x,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta1122_4x,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,14,poly_cbd2,noise_cbd,third_party/mlkem-native/mlkem/src/sampling.c,mlk_poly_cbd2,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,15,poly_cbd3,noise_cbd,third_party/mlkem-native/mlkem/src/sampling.c,mlk_poly_cbd3,62640,62640,4,1.204266147432629,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,16,keccakf1600_permute,keccak_permutation,third_party/mlkem-native/mlkem/src/fips202/keccakf1600.c,mlk_keccakf1600_permute,4183290,4183290,27,80.42456149255177,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,17,shake128_absorb_once,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake128_absorb_once,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,18,shake128_squeezeblocks,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake128_squeezeblocks,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,19,shake256,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake256,14044,1258104,4,0.26999862347611503,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,20,sha3_256,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_sha3_256,10663,941326,1,0.2049982428172753,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,21,sha3_512,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_sha3_512,2237,158205,1,0.04300675880917611,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,22,shake128x4_absorb_once,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake128x4_absorb_once,6255,6255,1,0.12025358799794214,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,23,shake128x4_squeezeblocks,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake128x4_squeezeblocks,16207,1875412,1,0.3115827179348758,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,24,shake256x4,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake256x4,0,0,0,0.0,batch_000_007
