case_index,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,config,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes
0,0,1,42,2,26,1,0,8297448,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.97448,14096
1,1,2,42,2,26,2,0,9047719,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.47719,17296
2,2,2,42,5,86,3,0,11647045,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,116.47045,18432
3,3,3,42,6,96,4,0,19313519,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,193.13519,18432
4,4,2,42,10,136,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93076,2912
5,5,2,42,9,126,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10382,896
6,6,2,42,10,137,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93087,2912
7,7,2,42,9,128,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10393,896
8,8,1,42,2,27,1,0,8298103,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.98103,14096
9,9,1,42,2,28,1,0,8296257,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.96257,14096
10,10,1,42,2,29,1,0,8295827,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.95827,14096
11,11,1,42,2,30,1,0,8294959,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.94959,14096
12,12,1,42,2,31,1,0,8296873,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.96873,14096
13,13,1,42,2,32,1,0,8297454,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.97454,14096
14,14,1,42,2,33,1,0,8923167,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.23167,14096
15,15,1,42,2,34,1,0,8299084,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.99084,14096
16,16,1,42,2,35,1,0,8296272,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.96272,14096
17,17,1,42,2,36,1,0,8298059,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.98059,14096
18,18,1,42,2,37,1,0,8298140,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.9814,14096
19,19,1,42,2,38,1,0,8297188,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.97188,14096
20,20,1,42,2,39,1,0,8295365,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.95365,14096
21,21,1,42,2,40,1,0,8299377,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.99377,14096
22,22,1,42,2,41,1,0,8299131,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.99131,14096
23,23,1,42,2,42,1,0,8295423,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.95423,14096
24,24,1,42,2,43,1,0,8294718,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.94718,14096
25,25,1,42,2,44,1,0,8298504,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.98504,14096
26,26,1,42,2,45,1,0,8296473,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.96473,14096
27,27,1,42,2,46,1,0,8297998,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.97998,14096
28,28,1,42,2,47,1,0,8297421,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.97421,14096
29,29,1,42,2,48,1,0,8296035,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.96035,14096
30,30,1,42,2,49,1,0,8295617,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.95617,14096
31,31,1,42,2,50,1,0,8296721,4,64,3584,28800,28800,0,0,0,0,0,0,0,116960,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,82.96721,14096
32,32,2,42,2,27,2,0,9047023,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.47023,17296
33,33,2,42,2,28,2,0,9672512,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,96.72512,17296
34,34,2,42,2,29,2,0,9045872,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.45872,17296
35,35,2,42,2,30,2,0,9672230,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,96.7223,17296
36,36,2,42,2,31,2,0,9046706,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.46706,17296
37,37,2,42,2,32,2,0,9047244,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.47244,17296
38,38,2,42,2,33,2,0,9042824,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.42824,17296
39,39,2,42,2,34,2,0,9046063,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.46063,17296
40,40,2,42,2,35,2,0,9047067,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.47067,17296
41,41,2,42,2,36,2,0,9046331,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.46331,17296
42,42,2,42,2,37,2,0,9673362,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,96.73362,17296
43,43,2,42,2,38,2,0,9045508,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.45508,17296
44,44,2,42,2,39,2,0,9042398,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.42398,17296
